,Special
〇,○
',
画,畫,划,劃
脸,臉
练,練
连,連
恋,戀
联,聯
镰,鐮,鎌
炼,煉,鍊
帘,簾
敛,斂
殓,殮
裣,襝
蔹,蘞
梿,槤
奁,奩
莶,薟
裢,褳
涟,漣
潋,瀲
鲢,鰱
琏,璉
,liang
粮,糧
辆,輛
凉,涼
谅,諒
梁,樑
两,両,兩
辌,輬
魉,魎
,liao
了,瞭
辽,遼
疗,療
缭,繚
鹩,鷯
钌,釕
镣,鐐
鹨,鷚
,lie
猎,獵
,lin
邻,鄰
麻,痳
临,臨
鳞,鱗
凛,凜
躏,躪
赁,賃
磷,燐
廪,廩
辚,轔
懔,懍
蔺,藺
檩,檁
,ling
领,領
岭,嶺
龄,齡
灵,靈
铃,鈴
棂,櫺
绫,綾
鲮,鯪
鸰,鴒
,liu
刘,劉
馏,餾
浏,瀏
镠,鏐
绺,綹
鹠,鶹
铆,鉚
镏,鎦
飗,飀
骝,騮
,long
垄,壟
笼,籠
聋,聾
拢,攏
龙,龍
咙,嚨
胧,矓,朧
茏,蘢
砻,礱
陇,隴
珑,瓏
昽,曨
垅,壠
栊,櫳
泷,瀧
,lou
搂,摟
楼,樓
篓,簍
娄,婁
瘘,瘺
喽,嘍
髅,髏
耧,耬
蝼,螻
镂,鏤
蒌,蔞
嵝,嶁
,lu
虏,虜
炉,爐
鲁,魯
录,錄
芦,蘆
陆,陸
卤,鹵
颅,顱
卢,盧
庐,廬
赂,賂
箓,籙
辘,轆
栌,櫨
渌,淥
舻,艫
禄,祿
镥,鑥
橹,櫓
撸,擼
辂,輅
掳,擄
鲈,鱸
噜,嚕
鹭,鷺
轳,轤
胪,臚
垆,壚
鸬,鸕
泸,瀘
,luan
乱,亂
峦,巒
滦,灤
孪,孿
栾,欒
娈,孌
脔,臠
銮,鑾
挛,攣
鸾,鸞
,lun
轮,輪
论,論
抡,掄
伦,倫
沦,淪
仑,侖,崙
囵,圇
纶,綸
,luo
萝,蘿
箩,籮
锣,鑼
骡,騾
罗,羅
骆,駱
络,絡
逻,邏
啰,囉
裸,臝
荦,犖
氇,氌
椤,欏
泺,濼
猡,玀
镙,鏍
,lv
屡,屢
驴,驢
虑,慮
滤,濾
绿,綠
侣,侶
吕,呂
铝,鋁
缕,縷
闾,閭
溇,漊
褛,褸
榈,櫚
偻,僂
,lve
锊,鋝
,ma
骂,罵
蚂,螞
马,馬
妈,媽
码,碼
吗,嗎
麻,痲
玛,瑪
嬷,嬤
祃,禡
犸,獁
唛,嘜
,mai
卖,賣
迈,邁
麦,麥
买,買
脉,脈
劢,勱
荬,蕒
,man
蛮,蠻
满,滿
馒,饅
瞒,瞞
镘,鏝
缦,縵
谩,謾
螨,蟎
鳗,鰻
颟,顢
,mao
贸,貿
猫,貓
锚,錨
牦,氂
,mei
没,沒
霉,黴
镁,鎂
镅,鎇
鹛,鶥
,men
门,門
闷,悶
们,們
钔,鍆
焖,燜
懑,懣
扪,捫
,meng
梦,夢
蒙,矇,濛
锰,錳
鹲,鸏
,mi
眯,瞇
谜,謎
丝,糸
秘,祕
觅,覓
弥,瀰,彌
芈,羋
幂,冪
谧,謐
猕,獼
,mian
绵,綿
面,麵,麪
缅,緬
渑,澠
,miao
庙,廟
鹋,鶓
缈,緲
,mie
灭,滅
蔑,衊
,min
悯,憫
闽,閩
黾,黽
闵,閔
鳘,鰵
缗,緡
,ming
鸣,鳴
铭,銘
,miu
谬,謬
,mo
,么,麽
模,糢
蓦,驀
镆,鏌
殁,歿
谟,謨
馍,饃
,mou
谋,謀
缪,繆
,mu
亩,畝
钼,鉬
,na
纳,納
钠,鈉
镎,鎿
,nai
你,妳
乃,迺
,nan
难,難
,nang
馕,饢
,nao
挠,撓
闹,鬧
脑,腦
恼,惱
铙,鐃
桡,橈
,ne
呐,吶
讷,訥
,nei
内,內
馁,餒
,ni
拟,擬
腻,膩
铌,鈮
鹝,鷊
鲵,鯢
昵,暱
,nian
念,唸
撵,攆
捻,撚
辇,輦
鲇,鮎
,niang
酿,釀
娘,孃
,niao
鸟,鳥
茑,蔦
袅,嬝,裊
,nie
聂,聶
糵,糱
陧,隉
镊,鑷
镍,鎳
蹑,躡
颞,顳
啮,嚙
蘖,櫱
嗫,囁
,ning
宁,寧,甯
拧,擰
狞,獰
泞,濘
柠,檸
咛,嚀
聍,聹
,niu
纽,紐
钮,鈕
,nong
农,農
浓,濃
脓,膿
秾,穠
侬,儂
哝,噥
,nu
驽,駑
,nuan
暖,煖
,nuo
诺,諾
傩,儺
,nv
钕,釹
,nve
疟,瘧
谑,謔
,ou
欧,歐
呕,嘔
殴,毆
鸥,鷗
讴,謳
怄,慪
瓯,甌
沤,漚
,pan
盘,槃,盤
蹒,蹣
,pang
,仿,彷
庞,龐
,彷,徬
,pao
抛,拋
炮,砲
疱,皰
龅,齙
,pei
赔,賠
佩,珮
辔,轡
,pen
喷,噴
,peng
